,clip,ped_id,veh_id
0,clip_1,11,21
1,clip_4,5,4
2,clip_6,2,3
3,clip_7,15,14
4,clip_8,13,19
5,clip_10,14,11
6,clip_11,33,34
7,clip_11,45,46
8,clip_11,45,54
9,clip_12,16,8
10,clip_13,12,17
11,clip_14,3,8
12,clip_14,3,12
