,clip,ped_id,veh_id
0,clip_1,8,14
1,clip_2,28,23
2,clip_3,23,7
3,clip_4,15,10
4,clip_6,35,34
5,clip_7,32,17
6,clip_8,8,3
7,clip_8,8,7
8,clip_8,8,22
9,clip_8,25,22
10,clip_11,22,18
11,clip_12,19,15
12,clip_12,19,18
13,clip_13,10,17
14,clip_13,15,17
15,clip_14,16,13
16,clip_14,16,15
17,clip_17,23,12
18,clip_20,14,13
19,clip_21,19,17
