,clip,ped_id,veh_id
0,clip_1,8,7
1,clip_2,12,6
2,clip_3,8,6
3,clip_4,10,5
4,clip_5,17,18
5,clip_6,7,4
6,clip_8,10,7
7,clip_8,10,8
8,clip_9,11,8
9,clip_9,11,10
